                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.31586,                0.26626,                0.98429,                 0.9953,                      1,                  0.995,                0.92787,                0.35808,                0.19284,                 1.0075,              0.0002378,              0.0002378,              0.0002378
                     92,                0.28796,                0.22505,                0.97665,                0.99445,                      1,                  0.995,                0.94219,                0.35161,                0.19521,                0.99468,               0.000218,               0.000218,               0.000218
                     93,                0.28209,                0.24126,                0.95714,                0.99526,                      1,                  0.995,                0.93672,                 0.3568,                0.18057,                0.99832,              0.0001982,              0.0001982,              0.0001982
                     94,                0.27589,                0.22204,                  0.967,                0.99724,                      1,                  0.995,                0.92717,                0.35582,                0.17979,                0.99814,              0.0001784,              0.0001784,              0.0001784
                     95,                0.26617,                0.22425,                0.95974,                0.99743,                      1,                  0.995,                 0.9599,                0.32726,                0.18703,                0.97397,              0.0001586,              0.0001586,              0.0001586
                     96,                0.26197,                0.21794,                0.94353,                0.99743,                      1,                  0.995,                 0.9553,                 0.3258,                0.17528,                0.97033,              0.0001388,              0.0001388,              0.0001388
                     97,                0.26487,                0.22142,                0.95476,                0.99744,                      1,                  0.995,                0.95638,                0.32265,                0.17139,                0.97019,               0.000119,               0.000119,               0.000119
                     98,                0.25998,                0.22577,                0.95249,                0.99745,                      1,                  0.995,                 0.9647,                0.31808,                0.17125,                0.96389,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.26142,                0.20746,                0.95706,                0.99748,                      1,                  0.995,                0.96509,                0.32127,                0.16832,                0.96624,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.25946,                0.20143,                0.96315,                 0.9975,                      1,                  0.995,                0.96175,                0.32525,                0.17126,                0.96911,               5.96e-05,               5.96e-05,               5.96e-05
